Date,Country/Territory/Area,Total confirmed cases,Total confirmed new cases,Total deaths,Total new deaths,Transmition classification,Days since last reported case
2020-03-14,Republic of Korea,8086,107,72,6,Local transmission,0
2020-03-14,Japan,716,41,21,2,Local transmission,0
2020-03-14,Singapore,200,13,0,0,Local transmission,0
2020-03-14,Australia,197,57,3,0,Local transmission,0
2020-03-14,Malaysia,197,68,0,0,Local transmission,0
2020-03-14,Philippines,64,12,2,0,Local transmission,0
2020-03-14,Viet Nam,48,9,0,0,Local transmission,0
2020-03-14,Brunei Darussalam,25,13,0,0,Local transmission,0
2020-03-14,Cambodia,7,2,0,0,Local transmission,0
2020-03-14,New Zealand,6,1,0,0,Local transmission,0
2020-03-14,Mongolia,1,0,0,0,Imported cases only,4
2020-03-14,French Polynesia,1,0,0,0,Imported cases only,2
2020-03-14,Italy,17660,2547,1268,252,Local transmission,0
2020-03-14,Spain,4231,1266,120,36,Local transmission,0
2020-03-14,France,3640,780,79,18,Local transmission,0
2020-03-14,Germany,3062,693,6,0,Local transmission,0
2020-03-14,Switzerland,1125,267,6,0,Local transmission,0
2020-03-14,Netherlands,804,190,10,5,Local transmission,0
2020-03-14,The United Kingdom,802,208,10,2,Local transmission,0
2020-03-14,Denmark,801,127,0,0,Local transmission,0
2020-03-14,Sweden,775,155,0,0,Local transmission,0
2020-03-14,Norway,750,261,1,1,Local transmission,0
2020-03-14,Belgium,599,285,0,0,Local transmission,0
2020-03-14,Austria,504,143,1,0,Local transmission,0
2020-03-14,Czechia,150,34,0,0,Local transmission,0
2020-03-14,Slovenia,141,84,0,0,Local transmission,0
2020-03-14,Portugal,112,71,0,0,Local transmission,0
2020-03-14,Finland,109,0,0,0,Local transmission,1
2020-03-14,Israel,100,25,0,0,Local transmission,0
2020-03-14,Greece,98,0,1,0,Local transmission,2
2020-03-14,Ireland,90,20,1,0,Local transmission,0
2020-03-14,Estonia,79,66,0,0,Local transmission,0
2020-03-14,San Marino,66,3,2,0,Local transmission,0
2020-03-14,Romania,64,16,0,0,Local transmission,0
2020-03-14,Poland,64,15,1,0,Local transmission,0
2020-03-14,Iceland,61,0,0,0,Local transmission,4
2020-03-14,Luxembourg,38,21,1,1,Local transmission,0
2020-03-14,Russian Federation,34,0,0,0,Imported cases only,1
2020-03-14,Albania,33,10,1,1,Local transmission,0
2020-03-14,Serbia,31,12,0,0,Local transmission,0
2020-03-14,Slovakia,30,9,0,0,Local transmission,0
2020-03-14,Croatia,27,11,0,0,Local transmission,0
2020-03-14,Georgia,25,0,0,0,Imported cases only,1
2020-03-14,Belarus,21,9,0,0,Local transmission,0
2020-03-14,Hungary,19,3,0,0,Local transmission,0
2020-03-14,Latvia,16,0,0,0,Imported cases only,2
2020-03-14,Cyprus,14,8.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Malta,12,3.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Azerbaijan,11,0.0,0.0,0.0,Imported cases only,1.0
2020-03-14,Bosnia and Herzegovina,11,7.0,0.0,0.0,Local transmission,0.0
2020-03-14,North Macedonia,9,2.0,0.0,0.0,Local transmission,0.0
2020-03-14,Armenia,8,7.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Republic of Moldova,8,4.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Bulgaria,7,0.0,1.0,0.0,Local transmission,2.0
2020-03-14,Lithuania,6,3.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Turkey,5,4.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Liechtenstein,4,0.0,0.0,0.0,Imported cases only,1.0
2020-03-14,Ukraine,3,0.0,1.0,1.0,Local transmission,0.0
2020-03-14,Andorra,2,1.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Monaco,2,1.0,0.0,0.0,Under investigation,0.0
2020-03-14,Holy See,1,0.0,0.0,0.0,Under investigation,8.0
2020-03-14,Faroe Islands,3,1.0,0.0,0.0,Imported cases only,0.0
2020-03-14,Gibraltar,1,0.0,0.0,0.0,Under investigation,10.0
2020-03-14,Guernsey,1,0.0,0.0,0.0,Imported cases only,4.0
2020-03-14,Jersey,2,0.0,0.0,0.0,Imported cases only,1.0
2020-03-14,India,82,8.0,2.0,1.0,Local transmission,0.0
2020-03-14,Thailand,75,0.0,1.0,0.0,Local transmission,1.0
2020-03-14,Indonesia,69,35.0,3.0,2.0,Local transmission,0.0
2020-03-14,Maldives,9,1.0,0.0,0.0,Local transmission,0.0
